variable_name,description,category,wave,n_nonmissing,n_missing,dtype
hearte_wave3,"Heart disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 3,16963,8910,Continuous (float)
stroke_wave3,"Stroke (1=self-reported diagnosis, 0=no)",Disease History,Wave 3,17065,8808,Continuous (float)
kidneye_wave3,"Kidney disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 3,16972,8901,Continuous (float)
digeste_wave3,"Digestive disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 3,17051,8822,Continuous (float)
psyche_wave3,"Psychiatric/emotional problems (1=self-reported diagnosis, 0=no)",Disease History,Wave 3,17033,8840,Continuous (float)
memrye_wave3,"Memory-related disease (1=self-reported diagnosis, 0=no)",Disease History,Wave 3,17017,8856,Continuous (float)
arthre_wave3,"Arthritis/rheumatism (1=self-reported diagnosis, 0=no)",Disease History,Wave 3,17049,8824,Continuous (float)
asthmae_wave3,"Asthma (1=self-reported diagnosis, 0=no)",Disease History,Wave 3,17038,8835,Continuous (float)
doctor_time_wave3,Number of outpatient visits (past month),Healthcare Utilization,Wave 3,20769,5104,Continuous (float)
hospital_time_wave3,Number of inpatient admissions (past year),Healthcare Utilization,Wave 3,20867,5006,Continuous (float)
da042s1_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
da042s2_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
da042s3_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
da042s4_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
da042s5_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
da042s6_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
da042s7_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
da042s8_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
da042s9_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
da042s10_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
da042s11_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
da042s12_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
da042s13_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
da042s14_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
da042s15_wave3,,Healthcare Utilization,Wave 3,19692,6181,Continuous (float)
sleep_wave3,Average sleep duration (hours/night),Lifestyle & Behavior,Wave 3,19405,6468,Continuous (float)
act_1_wave3,,Lifestyle & Behavior,Wave 3,21097,4776,Continuous (float)
act_2_wave3,,Lifestyle & Behavior,Wave 3,21097,4776,Continuous (float)
act_3_wave3,,Lifestyle & Behavior,Wave 3,21097,4776,Continuous (float)
act_4_wave3,,Lifestyle & Behavior,Wave 3,21097,4776,Continuous (float)
act_5_wave3,,Lifestyle & Behavior,Wave 3,21097,4776,Continuous (float)
act_6_wave3,,Lifestyle & Behavior,Wave 3,21097,4776,Continuous (float)
act_7_wave3,,Lifestyle & Behavior,Wave 3,21097,4776,Continuous (float)
act_8_wave3,,Lifestyle & Behavior,Wave 3,21097,4776,Continuous (float)
iwy_wave3,"Individual wage (annual, yuan)",Work & Income,Wave 3,21097,4776,Continuous (float)
iwm_wave3,"Individual income (annual, yuan)",Work & Income,Wave 3,21097,4776,Continuous (float)
retire_wave3,"Retirement status (1=retired, 0=not)",Work & Income,Wave 3,20570,5303,Continuous (float)
rural_wave3,"Rural residence (1=rural, 0=urban)",Demographics,Wave 3,21097,4776,Continuous (float)
family_size_wave3,Number of household members,Demographics,Wave 3,21097,4776,Continuous (float)
marry_wave3,"Marital status (1=married/partnered, 0=other)",Demographics,Wave 3,21060,4813,Continuous (float)
rural2_wave3,Rural residence (alternative coding),Demographics,Wave 3,18362,7511,Continuous (float)
srh_wave3,"Self-rated health (1=very good, 5=very poor)",Self-rated Health,Wave 3,19698,6175,Continuous (float)
smokev_wave3,"Smoking status (0=never, 1=former, 2=current)",Lifestyle & Behavior,Wave 3,20932,4941,Continuous (float)
smoken_wave3,Cigarettes per day (current smokers),Lifestyle & Behavior,Wave 3,20920,4953,Continuous (float)
drinkl_wave3,Alcohol consumption frequency,Lifestyle & Behavior,Wave 3,20913,4960,Continuous (float)
vgact_c_wave3,,Lifestyle & Behavior,Wave 3,9845,16028,Continuous (float)
